Image,SAM IoU,SAM BIoU,SAM Dice,SAM ms,FS IoU,FS BIoU,FS Dice,FS ms
7001-115.jpg,0.045,0.000,0.087,134918.0,0.046,0.040,0.088,25592.1
7001-139.jpg,0.004,0.000,0.009,123151.0,0.005,0.000,0.010,5374.0
7001-151.jpg,0.015,0.000,0.030,118788.2,0.016,0.000,0.032,4560.1
7001-157.jpg,0.007,0.000,0.014,118785.7,0.007,0.000,0.015,3836.8
7001-169.jpg,0.006,0.000,0.011,133850.2,0.006,0.000,0.012,3835.4
7001-17.jpg,0.060,0.037,0.112,115882.5,0.089,0.057,0.163,3795.5
7001-173.jpg,0.010,0.000,0.020,117442.0,0.011,0.011,0.021,5030.6
7001-178.jpg,0.005,0.000,0.010,114062.7,0.006,0.000,0.011,4914.8
7001-187.jpg,0.026,0.086,0.051,114477.3,0.017,0.107,0.034,3814.2
7001-2.jpg,0.028,0.073,0.055,132167.8,0.016,0.055,0.031,3856.9
7001-208.jpg,0.217,0.268,0.356,116821.8,0.004,0.003,0.007,3786.4
7001-21.jpg,0.002,0.778,0.005,117110.6,0.024,0.014,0.048,5045.1
7001-22.jpg,0.005,0.333,0.009,114972.2,0.009,0.023,0.017,4100.2
7001-225.jpg,0.011,0.000,0.021,116450.9,0.011,0.018,0.022,3789.2
7001-226.jpg,0.033,0.031,0.064,132038.9,0.021,0.036,0.041,3819.2
7001-236.jpg,0.065,0.045,0.122,117909.9,0.027,0.023,0.053,4986.8
7001-237.jpg,0.012,0.240,0.024,117355.6,0.019,0.010,0.037,3931.3
7001-25.jpg,0.015,0.000,0.029,116800.6,0.016,0.015,0.031,3852.4
7001-26.jpg,0.008,0.000,0.015,116950.0,0.008,0.002,0.017,5015.0
7001-27.jpg,0.006,0.000,0.012,130049.7,0.006,0.008,0.013,4815.6
7001-40.jpg,0.011,0.427,0.022,117319.4,0.022,0.006,0.044,3793.4
7001-41.jpg,0.034,0.030,0.066,122652.7,0.037,0.018,0.071,4492.1
7001-42.jpg,0.125,0.116,0.223,118164.7,0.120,0.114,0.215,3794.9
7001-43.jpg,0.075,0.091,0.139,119487.3,0.009,0.025,0.019,5026.8
7001-56.jpg,0.003,0.000,0.005,128158.2,0.003,0.007,0.006,4935.6
7001-57.jpg,0.004,0.000,0.008,120644.0,0.004,0.000,0.009,3894.0
7001-60.jpg,0.041,0.081,0.079,117294.1,0.047,0.035,0.090,4597.2
7001-68.jpg,0.055,0.061,0.104,116860.5,0.013,0.025,0.026,4031.3
7001-78.jpg,0.050,0.057,0.095,116640.1,0.014,0.012,0.028,3824.8
7001-79.jpg,0.073,0.068,0.136,131568.7,0.015,0.047,0.030,3810.0
